permutation,path,length
"[1, 7, 2, 4, 5, 3, 6, 8, 9, 10]",-r.-r.-l.-r.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.r.l.r.r,19
"[2, 7, 3, 4, 1, 6, 5, 8, 9, 10]",l.r.-l.-r.l.l.-r.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.r.-l.-l.r.l.-r.-l,25
"[1, 5, 3, 2, 10, 6, 7, 8, 9, 4]",l.-r.-r.l.-r.-r.-l.r.-l.-l.r.-l.-l.r.-l.-l.l.r.r.-l.r.r.-l,23
"[1, 10, 3, 2, 4, 6, 7, 8, 9, 5]",-r.l.-r.l.r.r.-l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.l.-r.-r.-l.r.-l.r,25
"[1, 2, 3, 10, 9, 6, 7, 8, 4, 5]",l.r.l.-r.-l.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.l.r.-l.-r.-l,21
"[4, 1, 3, 9, 5, 6, 7, 8, 2, 10]",r.l.l.l.-r.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.r.-l.-l.-l.-r,21
"[7, 2, 3, 4, 10, 6, 5, 8, 9, 1]",-l.r.r.r.-l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.l.-r.-r.-r.l,21
"[1, 2, 3, 7, 5, 8, 6, 4, 9, 10]",r.l.-r.-r.-l.r.-l.r.-l.-l.r.-l.-l.r.-l.-l.l.-r.l.r.r.-l.-r,23
"[6, 2, 1, 4, 3, 5, 7, 8, 9, 10]",r.r.l.r.l.-r.-r.l.r.-l.-l.r.-l.-l.r.-l.-l.-l.r.r.-l.-r.-l.-r.-r,25
"[5, 2, 3, 4, 10, 6, 7, 1, 9, 8]",r.r.l.-r.l.-r.-r.l.r.-l.-l.r.-l.-l.r.-l.-l.-l.r.r.-l.r.-l.-r.-r,25
"[9, 2, 3, 4, 1, 6, 5, 8, 7, 10]",r.-l.r.-l.r.r.-l.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.l.-r.-r.l.-r.l.-r,25
"[5, 2, 3, 8, 4, 6, 7, 1, 9, 10]",r.-l.r.l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.-l.-r.l.-r,19
"[1, 2, 6, 3, 5, 10, 7, 8, 9, 4]",-r.-l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.l.r,15
"[7, 2, 1, 4, 5, 6, 10, 8, 9, 3]",l.l.-r.-l.-l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.l.l.r.-l.-l,21
"[8, 2, 3, 4, 5, 6, 7, 10, 1, 9]",-r.-l.-l.-r.l.l.r.-l.-l.r.-l.-l.r.-l.-l.-l.-l.r.l.l.r,21
"[1, 3, 7, 4, 2, 6, 5, 8, 9, 10]",l.r.-l.r.r.-l.-l.r.-l.-l.r.-l.-l.-r.l.-r.-l,17
"[9, 2, 3, 4, 5, 1, 7, 8, 10, 6]",-r.-l.r.-l.-r.-l.r.-l.-l.r.-l.-l.r.-l.-l.l.r.l.-r.l.r,21
"[1, 8, 3, 5, 2, 6, 7, 4, 9, 10]",l.l.-r.l.-r.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.r.-l.r.-l.-l,21
"[2, 8, 3, 1, 5, 6, 7, 4, 9, 10]",-r.l.l.l.-r.-r.r.-l.-l.r.-l.-l.r.-l.-l.r.r.-l.-l.-l.r,21
