permutation,path,length
"[1, 2, 3, 10, 5, 7, 4, 6, 9, 8]",-r.-r.-l.r.l.-r.l.-r.l.r.r.-l.-l.-r.l.l.-r.-l.r.-l.r.-l.-r.l.r.r,26
"[2, 3, 6, 4, 5, 10, 7, 8, 9, 1]",-r.-r.l.r.l.-r.l.l.-r.-l.-l.r.-l.-l.-r.l.l.l.l.r.-l.-l.r.-l.-r.-l.r.r,28
"[1, 3, 8, 4, 5, 6, 7, 10, 2, 9]",l.-r.l.-r.-r.l.r.l.-r.-l.r.-l.-l.-r.l.l.l.r.-l.-r.-l.r.r.-l.r.-l,26
"[7, 2, 1, 3, 5, 6, 9, 8, 4, 10]",-r.-r.l.r.r.-l.-l.-r.l.l.-r.-l.r.r,14
"[1, 2, 9, 5, 3, 4, 7, 8, 6, 10]",-l.-r.-l.-r.-l.-r.-l.-l.r.r.-l.-l.-r.l.l.-r.l.l.r.l.r.l.r.l,24
"[1, 2, 3, 4, 10, 6, 9, 5, 8, 7]",r.-l.-l.r.-l.-l.-r.l.l.l.l.-r,12
"[10, 6, 3, 4, 5, 1, 2, 8, 9, 7]",l.r.-l.-l.r.-l.r.-l.-r.l.r.-l.-l.-r.l.l.-l.r.l.-r.l.-r.l.l.-r.-l,26
"[9, 2, 10, 4, 5, 6, 3, 8, 7, 1]",r.-l.-l.-r.-l.-r.-r.-l.r.-l.-l.-r.l.l.l.r.r.l.r.l.l.-r,22
"[6, 2, 8, 4, 5, 3, 7, 10, 9, 1]",-r.-l.r.-l.-r.-l.-r.r.-l.-l.-r.l.l.r.l.r.l.-r.l.r,20
"[1, 2, 3, 6, 9, 5, 7, 4, 8, 10]",-r.-l.-l.r.-l.r.l.l.r.r.-l.-l.-r.l.l.-r.-l.-l.-r.l.-r.l.l.r,24
"[1, 8, 2, 3, 4, 6, 7, 5, 9, 10]",-r.-r.-l.-r.-l.-l.r.-l.-r.-l.r.-l.-l.-r.l.l.l.r.l.-r.l.l.r.l.r.r,26
