permutation,path,length
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 24, 12, 13, 14, 15, 16, 17, 11, 19, 20, 21, 22, 23, 18, 25, 26, 27, 28, 29, 30, 31, 32]",-f4.r1.-f1.r1.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-r1.-f1.-r1.-f4,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 17, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-r1.-f6.r2.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-r2.-f6.r1,14
"[1, 2, 3, 4, 5, 6, 7, 8, 23, 10, 11, 12, 13, 14, 15, 16, 17, 9, 19, 20, 21, 22, 18, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f4.-f1.r1.-f0.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f0.-r1.-f1.-f4,16
"[1, 2, 3, 4, 5, 6, 7, 8, 21, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 22, 9, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f0.-f3.-f1.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f1.-f3.-f0,14
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 11, 12, 13, 24, 15, 16, 17, 18, 19, 20, 21, 22, 23, 10, 25, 26, 27, 28, 29, 30, 31, 32]",-f4.r1.-f2.-f4.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f4.-f2.-r1.-f4,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 24, 20, 21, 19, 23, 22, 25, 26, 27, 28, 29, 30, 31, 32]",-f4.-f2.-r2.-f6.r1.-f2.r2.-f6.r1.-f2.r2.r2.-f2.-f4,14
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19, 12, 13, 14, 15, 16, 17, 18, 23, 20, 21, 22, 11, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f7.-r2.-f7.-f4.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f4.-f7.r2.-f7,16
"[1, 2, 3, 4, 5, 6, 7, 8, 22, 10, 11, 12, 13, 14, 9, 16, 17, 18, 19, 20, 21, 15, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f0.-r2.-f2.-f1.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f1.-f2.r2.-f0,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 11, 12, 13, 10, 15, 16, 17, 14, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f3.r2.-f6.-f4.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-f4.-f6.-r2.-f3,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 12, 17, 14, 15, 16, 11, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",-f4.-f5.-f0.r2.-f6.r1.-f2.r2.-f6.r1.-f2.r2.-r2.-f0.-f5.-f4,16
